#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000783515.2	PRJNA224116	SAMN02934538	JTAX00000000.2	na	573	573	Klebsiella pneumoniae	strain=FDAARGOS_84		latest	Contig	Major	Full	2018/01/19	ASM78351v2	University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center	GCA_000783515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/515/GCF_000783515.2_ASM78351v2		
GCF_000784945.1	PRJNA224116	SAMN02803823		na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=KPNIH29		latest	Complete Genome	Major	Full	2014/11/17	ASM78494v1	NIH	GCA_000784945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/945/GCF_000784945.1_ASM78494v1		
GCF_000784985.1	PRJNA224116	SAMN02820977		na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=KPNIH30		latest	Complete Genome	Major	Full	2014/11/17	ASM78498v1	NIH	GCA_000784985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/985/GCF_000784985.1_ASM78498v1		
GCF_000785005.1	PRJNA224116	SAMN02820980		na	72407	573	Klebsiella pneumoniae subsp. pneumoniae	strain=KPNIH31		latest	Complete Genome	Major	Full	2014/11/17	ASM78500v1	NIH	GCA_000785005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/005/GCF_000785005.1_ASM78500v1		
GCF_000785625.1	PRJNA224116	SAMN03014686	JRGE00000000.1	na	573	573	Klebsiella pneumoniae	strain=XDR		latest	Scaffold	Major	Full	2014/11/20	ASM78562v1	China CDC	GCA_000785625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/625/GCF_000785625.1_ASM78562v1		
GCF_000787995.1	PRJNA224116	SAMN03076171	JSZK00000000.1	na	573	573	Klebsiella pneumoniae	strain=101488		latest	Scaffold	Major	Full	2014/12/01	ASM78799v1	Miami University	GCA_000787995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/995/GCF_000787995.1_ASM78799v1		
GCF_000788005.1	PRJNA224116	SAMN03076169	JSZJ00000000.1	na	573	573	Klebsiella pneumoniae	strain=101712		latest	Scaffold	Major	Full	2014/12/01	ASM78800v1	Miami University	GCA_000788005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/788/005/GCF_000788005.1_ASM78800v1		
GCF_000788025.1	PRJNA224116	SAMN03078684	JSZL00000000.1	na	573	573	Klebsiella pneumoniae	strain=4640		latest	Scaffold	Major	Full	2014/12/01	ASM78802v1	Miami University	GCA_000788025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/788/025/GCF_000788025.1_ASM78802v1		
GCF_000805735.1	PRJNA224116	SAMN03144673	JSER00000000.1	na	573	573	Klebsiella pneumoniae	strain=CCBH13327		latest	Contig	Major	Full	2014/12/19	ASM80573v1	IOC- FIOCRUZ	GCA_000805735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/805/735/GCF_000805735.1_ASM80573v1		
GCF_000807395.2	PRJNA224116	SAMN03067420		na	573	573	Klebsiella pneumoniae	strain=32192		latest	Complete Genome	Major	Full	2015/02/06	ASM80739v3	JCVI	GCA_000807395.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/395/GCF_000807395.2_ASM80739v3		
GCF_000807475.1	PRJNA224116	SAMN03067421	JWRM00000000.1	na	573	573	Klebsiella pneumoniae	strain=38544		latest	Contig	Major	Full	2015/01/05	ASM80747v2	JCVI	GCA_000807475.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/475/GCF_000807475.1_ASM80747v2		
GCF_000807495.1	PRJNA224116	SAMN03067422	JWRL00000000.1	na	573	573	Klebsiella pneumoniae	strain=38547		latest	Contig	Major	Full	2015/01/07	ASM80749v2	JCVI	GCA_000807495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/495/GCF_000807495.1_ASM80749v2		
GCF_000807515.1	PRJNA224116	SAMN03255440	JWRK00000000.1	na	573	573	Klebsiella pneumoniae	strain=6234		latest	Contig	Major	Full	2015/01/05	ASM80751v2	JCVI	GCA_000807515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/515/GCF_000807515.1_ASM80751v2		
GCF_000809125.1	PRJNA224116	SAMN03273576	JAPZ00000000.1	na	1451263	573	Klebsiella pneumoniae JT4	strain=JT4		latest	Contig	Major	Full	2014/12/29	ASM80912v1	The Singapore Centre on Environmental Life Sciences Engineering	GCA_000809125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/809/125/GCF_000809125.1_ASM80912v1		
GCF_000812525.1	PRJNA224116	SAMN03261529	JWPY00000000.1	na	573	573	Klebsiella pneumoniae	strain=GN8		latest	Contig	Major	Full	2014/12/31	ASM81252v1	University of Malaya	GCA_000812525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/812/525/GCF_000812525.1_ASM81252v1		
GCF_000813205.1	PRJNA224116	SAMN03274239		na	1392500	573	Klebsiella pneumoniae HK787	strain=HK787		latest	Complete Genome	Major	Full	2015/01/02	ASM81320v1	National Health Research Institutes	GCA_000813205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/813/205/GCF_000813205.1_ASM81320v1		
GCF_000814305.1	PRJNA224116	SAMN03067424		na	573	573	Klebsiella pneumoniae	strain=34618		latest	Complete Genome	Major	Full	2015/01/05	ASM81430v1	JCVI	GCA_000814305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/305/GCF_000814305.1_ASM81430v1		
GCF_000814805.1	PRJNA224116	SAMN03097203		na	1392499	573	Klebsiella pneumoniae subsp. pneumoniae 1158	strain=1158		latest	Complete Genome	Major	Full	2015/01/06	ASM81480v1	National Chung Hsing University	GCA_000814805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/805/GCF_000814805.1_ASM81480v1		
GCF_000817855.1	PRJNA224116	SAMN03271887	JXBF00000000.1	na	573	573	Klebsiella pneumoniae	strain=ST147		latest	Scaffold	Major	Full	2015/01/14	ASM81785v1	The University of Queensland	GCA_000817855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/817/855/GCF_000817855.1_ASM81785v1		
GCF_000818615.1	PRJNA224116	SAMN03278119	JXCH00000000.1	na	573	573	Klebsiella pneumoniae	strain=ST485		latest	Scaffold	Major	Full	2015/01/15	ASM81861v1	The University of Queensland	GCA_000818615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/818/615/GCF_000818615.1_ASM81861v1		
GCF_000820445.1	PRJNA224116	SAMEA2738239	CCVM00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/10/26	KPLM21	Universite d'Auvergne	GCA_000820445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/445/GCF_000820445.1_KPLM21		
GCF_000821365.1	PRJNA224116	SAMEA2602906	CCEX00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	100SGR	UNIMI	GCA_000821365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/365/GCF_000821365.1_100SGR		
GCF_000821385.1	PRJNA224116	SAMEA2602907	CCEY00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	101BO	UNIMI	GCA_000821385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/385/GCF_000821385.1_101BO		
GCF_000821405.1	PRJNA224116	SAMEA2602908	CCFM00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	102BO	UNIMI	GCA_000821405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/405/GCF_000821405.1_102BO		
GCF_000821425.1	PRJNA224116	SAMEA2602909	CCFN00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	103BO	UNIMI	GCA_000821425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/425/GCF_000821425.1_103BO		
GCF_000821445.1	PRJNA224116	SAMEA2602910	CCFO00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	104BO	UNIMI	GCA_000821445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/445/GCF_000821445.1_104BO		
GCF_000821465.1	PRJNA224116	SAMEA2602911	CCFP00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	10PV	UNIMI	GCA_000821465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/465/GCF_000821465.1_10PV		
GCF_000821485.1	PRJNA224116	SAMEA2602912	CCFQ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	11PV	UNIMI	GCA_000821485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/485/GCF_000821485.1_11PV		
GCF_000821505.1	PRJNA224116	SAMEA2602913	CCFR00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	12PV	UNIMI	GCA_000821505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/505/GCF_000821505.1_12PV		
GCF_000821525.1	PRJNA224116	SAMEA2602914	CCFT00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	13PV	UNIMI	GCA_000821525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/525/GCF_000821525.1_13PV		
GCF_000821545.1	PRJNA224116	SAMEA2602915	CCFS00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	14PV	UNIMI	GCA_000821545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/545/GCF_000821545.1_14PV		
GCF_000821565.1	PRJNA224116	SAMEA2602916	CCFV00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	15PV	UNIMI	GCA_000821565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/565/GCF_000821565.1_15PV		
GCF_000821585.1	PRJNA224116	SAMEA2602917	CCFU00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	16BO	UNIMI	GCA_000821585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/585/GCF_000821585.1_16BO		
GCF_000821605.1	PRJNA224116	SAMEA2602918	CCFW00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	17PV	UNIMI	GCA_000821605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/605/GCF_000821605.1_17PV		
GCF_000821625.1	PRJNA224116	SAMEA2602919	CCFX00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	18PV	UNIMI	GCA_000821625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/625/GCF_000821625.1_18PV		
GCF_000821645.1	PRJNA224116	SAMEA2602920	CCGA00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	19PV	UNIMI	GCA_000821645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/645/GCF_000821645.1_19PV		
GCF_000821665.1	PRJNA224116	SAMEA2602921	CCFZ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	20PV	UNIMI	GCA_000821665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/665/GCF_000821665.1_20PV		
GCF_000821685.1	PRJNA224116	SAMEA2602922	CCGB00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	21PV	UNIMI	GCA_000821685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/685/GCF_000821685.1_21PV		
GCF_000821705.1	PRJNA224116	SAMEA2602923	CCFY00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	22PV	UNIMI	GCA_000821705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/705/GCF_000821705.1_22PV		
GCF_000821725.1	PRJNA224116	SAMEA2602924	CCGC00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	23PV	UNIMI	GCA_000821725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/725/GCF_000821725.1_23PV		
GCF_000821745.1	PRJNA224116	SAMEA2602925	CCGH00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	24PV	UNIMI	GCA_000821745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/745/GCF_000821745.1_24PV		
GCF_000821765.1	PRJNA224116	SAMEA2602926	CCGD00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	25BO	UNIMI	GCA_000821765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/765/GCF_000821765.1_25BO		
GCF_000821785.1	PRJNA224116	SAMEA2602927	CCGE00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	26BO	UNIMI	GCA_000821785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/785/GCF_000821785.1_26BO		
GCF_000821805.1	PRJNA224116	SAMEA2602928	CCJA00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	27BO	UNIMI	GCA_000821805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/805/GCF_000821805.1_27BO		
GCF_000821825.1	PRJNA224116	SAMEA2602929	CCGG00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	28BO	UNIMI	GCA_000821825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/825/GCF_000821825.1_28BO		
GCF_000821845.1	PRJNA224116	SAMEA2602930	CCGF00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	29BO	UNIMI	GCA_000821845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/845/GCF_000821845.1_29BO		
GCF_000821865.1	PRJNA224116	SAMEA2602931	CCGK00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	30BO	UNIMI	GCA_000821865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/865/GCF_000821865.1_30BO		
GCF_000821885.1	PRJNA224116	SAMEA2602932	CCGI00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	31AVR	UNIMI	GCA_000821885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/885/GCF_000821885.1_31AVR		
GCF_000821905.1	PRJNA224116	SAMEA2602933	CCGJ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	32AVR	UNIMI	GCA_000821905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/905/GCF_000821905.1_32AVR		
GCF_000821925.1	PRJNA224116	SAMEA2602934	CCGL00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	34AVR	UNIMI	GCA_000821925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/925/GCF_000821925.1_34AVR		
GCF_000821945.1	PRJNA224116	SAMEA2602935	CCGM00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	36AVR	UNIMI	GCA_000821945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/945/GCF_000821945.1_36AVR		
GCF_000821965.1	PRJNA224116	SAMEA2602936	CCGN00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	37AVR	UNIMI	GCA_000821965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/965/GCF_000821965.1_37AVR		
GCF_000821985.1	PRJNA224116	SAMEA2602937	CCGP00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	39AVR	UNIMI	GCA_000821985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/821/985/GCF_000821985.1_39AVR		
GCF_000822005.1	PRJNA224116	SAMEA2602938	CCGO00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	40AVR	UNIMI	GCA_000822005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/005/GCF_000822005.1_40AVR		
GCF_000822025.1	PRJNA224116	SAMEA2602939	CCGQ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	41AVR	UNIMI	GCA_000822025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/025/GCF_000822025.1_41AVR		
GCF_000822045.1	PRJNA224116	SAMEA2602940	CCGR00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	42AVR	UNIMI	GCA_000822045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/045/GCF_000822045.1_42AVR		
GCF_000822065.1	PRJNA224116	SAMEA2602941	CCGS00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	43AVR	UNIMI	GCA_000822065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/065/GCF_000822065.1_43AVR		
GCF_000822085.1	PRJNA224116	SAMEA2602942	CCGY00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	44AVR	UNIMI	GCA_000822085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/085/GCF_000822085.1_44AVR		
GCF_000822105.1	PRJNA224116	SAMEA2602943	CCGT00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	45AVR	UNIMI	GCA_000822105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/105/GCF_000822105.1_45AVR		
GCF_000822125.1	PRJNA224116	SAMEA2602944	CCGV00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	46AVR	UNIMI	GCA_000822125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/125/GCF_000822125.1_46AVR		
GCF_000822145.1	PRJNA224116	SAMEA2602945	CCGU00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	47AVR	UNIMI	GCA_000822145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/145/GCF_000822145.1_47AVR		
GCF_000822165.1	PRJNA224116	SAMEA2602946	CCGW00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	48AVR	UNIMI	GCA_000822165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/165/GCF_000822165.1_48AVR		
GCF_000822185.1	PRJNA224116	SAMEA2602947	CCGX00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	49BG	UNIMI	GCA_000822185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/185/GCF_000822185.1_49BG		
GCF_000822205.1	PRJNA224116	SAMEA2602948	CCHA00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	50BG	UNIMI	GCA_000822205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/205/GCF_000822205.1_50BG		
GCF_000822225.1	PRJNA224116	SAMEA2602949	CCGZ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	51BG	UNIMI	GCA_000822225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/225/GCF_000822225.1_51BG		
GCF_000822245.1	PRJNA224116	SAMEA2602950	CCHC00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	52BG	UNIMI	GCA_000822245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/245/GCF_000822245.1_52BG		
GCF_000822265.1	PRJNA224116	SAMEA2602951	CCHB00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	53BG	UNIMI	GCA_000822265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/265/GCF_000822265.1_53BG		
GCF_000822285.1	PRJNA224116	SAMEA2602952	CCHD00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	54BG	UNIMI	GCA_000822285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/285/GCF_000822285.1_54BG		
GCF_000822305.1	PRJNA224116	SAMEA2602953	CCHG00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	55BG	UNIMI	GCA_000822305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/305/GCF_000822305.1_55BG		
GCF_000822325.1	PRJNA224116	SAMEA2602954	CCHE00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	56BG	UNIMI	GCA_000822325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/325/GCF_000822325.1_56BG		
GCF_000822345.1	PRJNA224116	SAMEA2602955	CCHF00000000.1	na	573	573	Klebsiella pneumoniae			latest	Scaffold	Major	Full	2014/11/04	57BG	UNIMI	GCA_000822345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/345/GCF_000822345.1_57BG		
GCF_000822365.1	PRJNA224116	SAMEA2602956	CCHI00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	58BG	UNIMI	GCA_000822365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/365/GCF_000822365.1_58BG		
GCF_000822385.1	PRJNA224116	SAMEA2602957	CCHH00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	60BG	UNIMI	GCA_000822385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/385/GCF_000822385.1_60BG		
GCF_000822405.1	PRJNA224116	SAMEA2602958	CCHJ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	62BG	UNIMI	GCA_000822405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/405/GCF_000822405.1_62BG		
GCF_000822425.1	PRJNA224116	SAMEA2602959	CCHK00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	63BG	UNIMI	GCA_000822425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/425/GCF_000822425.1_63BG		
GCF_000822445.1	PRJNA224116	SAMEA2602960	CCHM00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	65BO	UNIMI	GCA_000822445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/445/GCF_000822445.1_65BO		
GCF_000822465.1	PRJNA224116	SAMEA2602961	CCHL00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	66BO	UNIMI	GCA_000822465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/465/GCF_000822465.1_66BO		
GCF_000822485.1	PRJNA224116	SAMEA2602962	CCHN00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	67BO	UNIMI	GCA_000822485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/485/GCF_000822485.1_67BO		
GCF_000822505.1	PRJNA224116	SAMEA2602963	CCHO00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	68BO	UNIMI	GCA_000822505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/505/GCF_000822505.1_68BO		
GCF_000822525.1	PRJNA224116	SAMEA2602964	CCHQ00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	69BO	UNIMI	GCA_000822525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/525/GCF_000822525.1_69BO		
GCF_000822545.1	PRJNA224116	SAMEA2602965	CCHP00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	70BO	UNIMI	GCA_000822545.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/545/GCF_000822545.1_70BO		
GCF_000822565.1	PRJNA224116	SAMEA2602966	CCHS00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	71RE	UNIMI	GCA_000822565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/565/GCF_000822565.1_71RE		
GCF_000822585.1	PRJNA224116	SAMEA2602967	CCHU00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	72RE	UNIMI	GCA_000822585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/585/GCF_000822585.1_72RE		
GCF_000822605.1	PRJNA224116	SAMEA2602968	CCHT00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	73RE	UNIMI	GCA_000822605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/605/GCF_000822605.1_73RE		
GCF_000822625.1	PRJNA224116	SAMEA2602969	CCHR00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	74RE	UNIMI	GCA_000822625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/625/GCF_000822625.1_74RE		
GCF_000822645.1	PRJNA224116	SAMEA2602970	CCHW00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	75RE	UNIMI	GCA_000822645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/645/GCF_000822645.1_75RE		
GCF_000822665.1	PRJNA224116	SAMEA2602971	CCHX00000000.1	na	573	573	Klebsiella pneumoniae			latest	Contig	Major	Full	2014/11/04	76RE	UNIMI	GCA_000822665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/822/665/GCF_000822665.1_76RE		
